Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,1504.000000,1552.000000,1488.000000,1508.000000,1508.000000,0
1991-01-08,1475.000000,1554.000000,1432.000000,1441.000000,1441.000000,0
1991-01-15,1438.000000,1574.000000,1425.000000,1553.000000,1553.000000,0
1991-01-22,1541.000000,1568.000000,1519.000000,1565.000000,1565.000000,0
1991-01-29,1567.000000,1600.000000,1548.000000,1581.000000,1581.000000,0
1991-02-05,1602.000000,1641.000000,1588.000000,1637.000000,1637.000000,0
1991-02-12,1647.000000,1703.000000,1622.000000,1695.000000,1695.000000,0
1991-02-19,1704.000000,1751.000000,1681.000000,1745.000000,1745.000000,0
1991-02-26,1736.000000,1768.000000,1696.000000,1766.000000,1766.000000,0
1991-03-05,1772.000000,1855.000000,1771.000000,1797.000000,1797.000000,0
1991-03-12,1798.000000,1823.000000,1770.000000,1778.000000,1778.000000,0
1991-03-19,1763.000000,1779.000000,1726.000000,1773.000000,1773.000000,0
1991-03-26,1767.000000,1819.000000,1767.000000,1816.000000,1816.000000,0
1991-04-02,1815.000000,1859.000000,1815.000000,1847.000000,1847.000000,0
1991-04-09,1851.000000,1856.000000,1806.000000,1822.000000,1822.000000,0
1991-04-16,1820.000000,1840.000000,1762.000000,1767.000000,1767.000000,0
1991-04-23,1778.000000,1801.000000,1770.000000,1797.000000,1797.000000,0
1991-04-30,1793.000000,1834.000000,1772.000000,1828.000000,1828.000000,0
1991-05-07,1822.000000,1852.500000,1821.000000,1834.500000,1834.500000,0
1991-05-14,1831.800049,1838.199951,1785.500000,1827.000000,1827.000000,0
1991-05-21,1826.500000,1846.099976,1792.000000,1801.500000,1801.500000,0
1991-05-28,1806.800049,1877.900024,1794.099976,1865.699951,1865.699951,0
1991-06-04,1859.699951,1877.099976,1840.500000,1846.300049,1846.300049,0
1991-06-11,1851.900024,1876.900024,1834.099976,1844.900024,1844.900024,0
1991-06-18,1824.500000,1832.599976,1773.400024,1775.599976,1775.599976,0
1991-06-25,1768.699951,1788.400024,1734.500000,1772.800049,1772.800049,0
1991-07-02,1760.400024,1760.400024,1697.099976,1714.300049,1714.300049,0
1991-07-09,1732.300049,1764.800049,1722.900024,1759.800049,1759.800049,0
1991-07-16,1762.400024,1770.199951,1745.099976,1762.800049,1762.800049,0
1991-07-23,1761.599976,1785.800049,1754.500000,1757.900024,1757.900024,0
1991-07-30,1759.599976,1777.400024,1742.400024,1762.199951,1762.199951,0
1991-08-06,1755.300049,1789.699951,1752.500000,1780.400024,1780.400024,0
1991-08-13,1786.000000,1820.300049,1663.300049,1687.500000,1687.500000,0
1991-08-20,1712.599976,1855.800049,1704.400024,1853.400024,1853.400024,0
1991-08-27,1849.099976,1870.300049,1839.400024,1863.500000,1863.500000,0
1991-09-03,1873.300049,1878.500000,1851.199951,1855.900024,1855.900024,0
1991-09-10,1849.099976,1890.000000,1838.000000,1878.300049,1878.300049,0
1991-09-17,1883.599976,1897.300049,1859.400024,1888.400024,1888.400024,0
1991-09-24,1883.000000,1893.400024,1865.800049,1880.599976,1880.599976,0
1991-10-01,1888.000000,1892.400024,1836.199951,1843.599976,1843.599976,0
1991-10-08,1842.900024,1852.199951,1827.300049,1833.400024,1833.400024,0
1991-10-15,1845.900024,1869.800049,1840.800049,1846.000000,1846.000000,0
1991-10-22,1836.400024,1852.099976,1825.599976,1852.099976,1852.099976,0
1991-10-29,1861.599976,1863.699951,1836.099976,1841.500000,1841.500000,0
1991-11-05,1840.099976,1858.500000,1832.099976,1857.599976,1857.599976,0
1991-11-12,1858.900024,1872.400024,1804.400024,1808.300049,1808.300049,0
1991-11-19,1812.300049,1812.500000,1731.500000,1743.300049,1743.300049,0
1991-11-26,1756.099976,1775.599976,1698.300049,1708.800049,1708.800049,0
1991-12-03,1719.000000,1737.699951,1661.000000,1663.400024,1663.400024,0
1991-12-10,1660.800049,1698.500000,1618.599976,1696.800049,1696.800049,0
1991-12-17,1698.300049,1718.099976,1610.199951,1633.599976,1633.599976,0
1991-12-24,1661.500000,1745.300049,1655.099976,1741.900024,1741.900024,0
1991-12-31,1757.800049,1802.500000,1746.599976,1787.599976,1787.599976,0
1992-01-07,1784.000000,1848.099976,1758.099976,1824.300049,1824.300049,0
1992-01-14,1820.699951,1884.599976,1820.699951,1865.900024,1865.900024,0
1992-01-21,1875.300049,1878.599976,1822.699951,1869.300049,1869.300049,0
1992-01-28,1867.699951,1895.800049,1849.599976,1857.000000,1857.000000,0
1992-02-04,1849.199951,1874.199951,1840.300049,1865.599976,1865.599976,0
1992-02-11,1874.599976,1885.800049,1853.900024,1882.099976,1882.099976,0
1992-02-18,1891.800049,1993.400024,1885.400024,1976.500000,1976.500000,0
1992-02-25,1977.400024,2004.199951,1948.500000,1979.699951,1979.699951,0
1992-03-03,1979.000000,1996.500000,1953.900024,1976.300049,1976.300049,0
1992-03-10,1979.500000,1997.599976,1922.199951,1929.199951,1929.199951,0
1992-03-17,1933.699951,1955.900024,1877.800049,1884.599976,1884.599976,0
1992-03-24,1879.400024,1945.300049,1877.500000,1943.800049,1943.800049,0
1992-03-31,1950.800049,1978.699951,1919.900024,1974.800049,1974.800049,0
1992-04-07,1977.500000,1986.400024,1899.900024,1963.300049,1963.300049,0
1992-04-14,1966.500000,2000.599976,1963.199951,1978.199951,1978.199951,0
1992-04-21,1965.099976,1998.500000,1963.699951,1995.699951,1995.699951,0
1992-04-28,1995.699951,2047.099976,1995.699951,2041.599976,2041.599976,0
1992-05-05,2051.199951,2080.800049,2032.800049,2077.500000,2077.500000,0
